timestamp;x (in G's);y (in G's);z (in G's)
0.0;0.005112;-0.162277;-0.940506
0.009735107421875;0.006973;-0.165497;-0.936432
0.019438982009887695;0.012878;-0.167999;-0.935669
0.0291750431060791;0.020905;-0.169022;-0.936981
0.0388789176940918;0.030563;-0.171326;-0.936142
0.048583984375;0.034058;-0.169479;-0.945755
0.058319091796875;0.038605;-0.167236;-0.957733
0.0680229663848877;0.042191;-0.164566;-0.96756
0.0777280330657959;0.045212;-0.166336;-0.972748
0.0874629020690918;0.045441;-0.167145;-0.97963
0.09716796875;0.047318;-0.162201;-0.982864
0.1068720817565918;0.041534;-0.161163;-0.978699
0.1166069507598877;0.03772;-0.165512;-0.956741
0.1263120174407959;0.046371;-0.174789;-0.939148
0.1360170841217041;0.059677;-0.185806;-0.924103
0.145751953125;0.07135;-0.197556;-0.909744
0.1554560661315918;0.077469;-0.206024;-0.906555
0.1651909351348877;0.07785;-0.21225;-0.903809
0.1846010684967041;0.077515;-0.216812;-0.920975
0.1943359375;0.072388;-0.213974;-0.940247
0.2040400505065918;0.060806;-0.208344;-0.959686
0.2137749195098877;0.049255;-0.204742;-0.977417
0.2234799861907959;0.034668;-0.198746;-0.995468
0.2331850528717041;0.024033;-0.19133;-1.01918
0.242919921875;0.01915;-0.186371;-1.032654
0.2526240348815918;0.022934;-0.177811;-1.050888
0.2623589038848877;0.023056;-0.167358;-1.064285
0.2720639705657959;0.02095;-0.163223;-1.059631
0.2817690372467041;0.0177;-0.156143;-1.059616
0.29150390625;0.015793;-0.149628;-1.061707
0.3012080192565918;0.019073;-0.14888;-1.045853
0.3109130859375;0.022369;-0.155594;-1.023239
0.3206479549407959;0.023239;-0.162354;-0.994186
0.3303520679473877;0.023376;-0.169037;-0.967285
0.3400568962097168;0.016724;-0.168747;-0.946518
0.3497920036315918;0.011047;-0.165436;-0.94072
0.3594970703125;0.010223;-0.168915;-0.937332
0.3692319393157959;0.015274;-0.172028;-0.94162
0.3789360523223877;0.017441;-0.183212;-0.940277
0.3886408805847168;0.01976;-0.189911;-0.937469
0.3983759880065918;0.018356;-0.191422;-0.936783
0.4080810546875;0.015015;-0.192566;-0.933975
0.4178159236907959;0.008942;-0.190506;-0.93219
0.4275200366973877;0.003326;-0.188034;-0.936661
0.4372251033782959;0.000702;-0.193039;-0.939636
0.4469599723815918;0.002548;-0.201309;-0.93779
0.4566650390625;0.002777;-0.208572;-0.939377
0.4663689136505127;0.007095;-0.212646;-0.940125
0.4761040210723877;0.010315;-0.210892;-0.936218
0.4858090877532959;0.016434;-0.204208;-0.935532
0.4955439567565918;0.022995;-0.205429;-0.93811
0.5052490234375;0.023392;-0.203751;-0.93869
0.5246880054473877;0.027847;-0.203156;-0.93988
0.5343930721282959;0.027695;-0.199707;-0.947403
0.544097900390625;0.027115;-0.205154;-0.954895
0.5538330078125;0.025696;-0.209839;-0.958191
0.5635368824005127;0.017029;-0.213165;-0.961441
0.5732719898223877;0.014694;-0.217438;-0.968384
0.5829770565032959;0.016846;-0.21582;-0.971954
0.592681884765625;0.020615;-0.213318;-0.970459
0.6024169921875;0.021912;-0.217041;-0.9702
0.6121211051940918;0.023438;-0.216995;-0.971542
0.6218259334564209;0.024597;-0.214371;-0.96727
0.6315610408782959;0.030457;-0.21109;-0.973404
0.6412661075592041;0.031189;-0.210495;-0.969452
0.6510009765625;0.032669;-0.215561;-0.968826
0.6607050895690918;0.038849;-0.223938;-0.966721
0.6704099178314209;0.042801;-0.232819;-0.963989
0.6801450252532959;0.044739;-0.234955;-0.966904
0.6898500919342041;0.045944;-0.236786;-0.96756
0.6995849609375;0.045975;-0.231033;-0.967346
0.7092890739440918;0.043121;-0.227188;-0.967926
0.7189939022064209;0.039337;-0.221573;-0.979523
0.7287290096282959;0.037033;-0.216766;-0.995575
0.7384340763092041;0.034256;-0.205109;-1.014359
0.7481379508972168;0.035797;-0.195541;-1.039627
0.7578730583190918;0.029678;-0.181305;-1.060089
0.7675778865814209;0.029739;-0.169922;-1.075974
0.7772819995880127;0.022171;-0.158066;-1.079605
0.7870180606842041;0.021774;-0.140137;-1.085876
0.7967219352722168;0.021347;-0.133347;-1.079987
0.806427001953125;0.019638;-0.126007;-1.060196
0.816162109375;0.005859;-0.119293;-1.050034
0.8258659839630127;-0.000534;-0.116547;-1.036255
0.8355710506439209;-0.002914;-0.121338;-1.019974
0.8453059196472168;-0.004395;-0.125336;-1.006973
0.855010986328125;-0.006058;-0.125153;-0.997696
0.8744499683380127;0.000748;-0.1147;-0.997589
0.8841550350189209;-0.010864;-0.109131;-0.998413
0.8938899040222168;-0.016937;-0.106689;-0.998032
0.903594970703125;-0.019028;-0.092102;-0.999313
0.9132659435272217;-0.017685;-0.078491;-1.002014
0.9230010509490967;-0.017059;-0.071915;-1.001663
0.9327058792114258;-0.018829;-0.071426;-1.003311
0.942410945892334;-0.018982;-0.072479;-0.999191
0.952146053314209;-0.018051;-0.071304;-0.993561
0.9618499279022217;-0.018448;-0.067841;-0.985046
0.9715850353240967;-0.021103;-0.061844;-0.971634
0.9812901020050049;-0.017899;-0.052185;-0.962006
0.990994930267334;-0.022232;-0.047089;-0.97551
1.000730037689209;-0.019119;-0.052048;-0.979797
1.0104339122772217;-0.015503;-0.064743;-0.976227
1.0201389789581299;-0.020401;-0.071976;-0.97818
1.0298740863800049;-0.03334;-0.076385;-0.971664
1.039578914642334;-0.036713;-0.078262;-0.966248
1.0492830276489258;-0.03653;-0.083038;-0.953323
1.0590178966522217;-0.039856;-0.09169;-0.939453
1.0687229633331299;-0.047668;-0.100342;-0.930817
1.0784270763397217;-0.051193;-0.108612;-0.919846
1.088162899017334;-0.053772;-0.110321;-0.917374
1.0978670120239258;-0.045425;-0.11203;-0.922012
1.107572078704834;-0.031616;-0.111771;-0.930527
1.1173069477081299;-0.019638;-0.11322;-0.949509
1.1270110607147217;-0.008759;-0.104813;-0.973877
1.1367158889770508;-0.010895;-0.094696;-0.999878
1.1464509963989258;-0.02002;-0.080414;-1.021088
1.156156063079834;-0.029099;-0.076965;-1.033264
1.1658599376678467;-0.037643;-0.076843;-1.038681
1.1755950450897217;-0.050125;-0.084091;-1.04071
1.1853001117706299;-0.056808;-0.103088;-1.022522
1.195004940032959;-0.053146;-0.119888;-1.001846
1.2144439220428467;-0.04776;-0.132599;-0.965012
1.2241489887237549;-0.049347;-0.133118;-0.954666
1.2338840961456299;-0.052582;-0.14595;-0.946045
1.243588924407959;-0.057266;-0.157394;-0.94136
1.2532930374145508;-0.055145;-0.166382;-0.939163
1.2630279064178467;-0.062576;-0.172409;-0.938248
1.2727329730987549;-0.067947;-0.17337;-0.936859
1.2824370861053467;-0.067535;-0.174042;-0.938217
1.292172908782959;-0.068649;-0.177551;-0.942368
1.3018770217895508;-0.061981;-0.184875;-0.941422
1.3116118907928467;-0.052322;-0.18869;-0.942429
1.3213169574737549;-0.049103;-0.188782;-0.94278
1.3310210704803467;-0.048401;-0.183212;-0.939758
1.340756893157959;-0.044907;-0.175827;-0.937546
1.3504610061645508;-0.036484;-0.171417;-0.932892
1.360166072845459;-0.030823;-0.174576;-0.927063
1.3699009418487549;-0.02626;-0.175934;-0.925705
1.3796050548553467;-0.017838;-0.175552;-0.929199
1.3893098831176758;-0.00769;-0.177795;-0.935898
1.3990449905395508;-0.013123;-0.17688;-0.931488
1.408750057220459;-0.023895;-0.17955;-0.921371
1.4184849262237549;-0.030014;-0.179184;-0.909897
1.4281890392303467;-0.032394;-0.178223;-0.90799
1.4378941059112549;-0.030426;-0.18103;-0.903564
1.4476289749145508;-0.029999;-0.182816;-0.90683
1.457334041595459;-0.028015;-0.181976;-0.912491
1.4670379161834717;-0.021103;-0.185516;-0.914185
1.4767730236053467;-0.015427;-0.189697;-0.918381
1.4864780902862549;-0.010864;-0.1875;-0.924423
1.4962129592895508;-0.00386;-0.182495;-0.936234
1.505918025970459;-0.002914;-0.176407;-0.950546
1.5156219005584717;-0.012589;-0.166962;-0.966217
1.5253570079803467;-0.026352;-0.157303;-0.980499
1.5350620746612549;-0.035202;-0.149078;-1.004761
1.5447969436645508;-0.041702;-0.137436;-1.022705
1.5642058849334717;-0.030991;-0.132965;-1.03476
1.5739409923553467;-0.023163;-0.132553;-1.036789
1.5836460590362549;-0.009247;-0.136337;-1.034363
1.593350887298584;-0.007202;-0.143799;-1.019531
1.603085994720459;-0.010712;-0.146332;-1.014267
1.6127901077270508;-0.00444;-0.134232;-1.023163
1.6224949359893799;0.008972;-0.119507;-1.048752
1.6322300434112549;0.020493;-0.108582;-1.073975
1.6419339179992676;0.022415;-0.109909;-1.087585
1.6516389846801758;0.026749;-0.117996;-1.085129
1.6613740921020508;0.009033;-0.111359;-1.083801
1.6710789203643799;-0.012421;-0.094162;-1.078354
1.6807830333709717;-0.018631;-0.074509;-1.074295
1.6905179023742676;-0.013504;-0.061523;-1.068069
1.7002229690551758;0.000549;-0.058731;-1.068634
1.709928035736084;0.013123;-0.055786;-1.072754
1.7196629047393799;0.018448;-0.065628;-1.071274
1.7293670177459717;0.022293;-0.070099;-1.062759
1.7390720844268799;0.021561;-0.068588;-1.054138
1.7488069534301758;0.018768;-0.061234;-1.038086
1.758512020111084;0.014557;-0.04747;-1.026154
1.7682158946990967;0.007004;-0.043747;-1.003479
1.7779510021209717;-0.00441;-0.044418;-0.9841
1.7876560688018799;-0.016388;-0.044464;-0.984589
1.7973909378051758;-0.029175;-0.043747;-0.988403
1.807096004486084;-0.018417;-0.046555;-0.973755
1.8167998790740967;0.001465;-0.056107;-0.956589
1.8265349864959717;0.017624;-0.068375;-0.942383
1.8362400531768799;0.033737;-0.074844;-0.919556
1.8459439277648926;0.039856;-0.073166;-0.909775
