timestamp;x (in G's);y (in G's);z (in G's)
1603186397.892592;-0.014694;-0.001129;-1.092239
1603186397.902328;-0.002777;0.006042;-1.124084
1603186397.912031;0.010406;-0.004410;-1.143372
1603186397.921767;0.015472;-0.007599;-1.149857
1603186397.931472;0.018997;0.003494;-1.137161
1603186397.941176;0.002563;0.031143;-1.121155
1603186397.950912;-0.008881;0.047379;-1.077332
1603186397.960615;-0.017441;0.046524;-1.032608
1603186397.970351;-0.024536;0.024582;-0.972290
1603186397.980056;-0.020264;-0.002914;-0.921906
1603186397.989760;-0.007858;-0.024490;-0.898544
1603186397.999496;-0.002106;-0.037827;-0.889877
1603186398.009199;-0.006531;-0.043900;-0.892502
1603186398.018934;-0.018646;-0.056641;-0.893387
1603186398.028640;-0.023132;-0.079681;-0.899307
1603186398.038374;-0.028244;-0.096146;-0.903336
1603186398.048079;-0.038086;-0.103577;-0.896820
1603186398.057783;-0.048050;-0.094971;-0.882706
1603186398.067518;-0.051498;-0.087830;-0.872711
1603186398.077224;-0.046768;-0.085434;-0.871338
1603186398.086958;-0.035431;-0.084778;-0.877274
1603186398.096663;-0.022263;-0.091980;-0.887161
1603186398.106399;-0.013672;-0.098755;-0.895569
1603186398.116102;-0.006882;-0.092270;-0.906677
1603186398.125839;-0.000626;-0.084351;-0.913071
1603186398.135542;0.001862;-0.074554;-0.922043
1603186398.145247;-0.000046;-0.068558;-0.923737
1603186398.154983;0.008423;-0.067856;-0.929886
1603186398.164686;0.018890;-0.070511;-0.932022
1603186398.174422;0.024612;-0.075867;-0.932236
1603186398.184126;0.023224;-0.082138;-0.931808
1603186398.193861;0.027985;-0.091919;-0.927750
1603186398.203567;0.022018;-0.098648;-0.926773
1603186398.213270;0.008606;-0.108490;-0.927765
1603186398.223006;-0.003708;-0.123016;-0.929337
1603186398.232710;-0.008026;-0.138077;-0.934525
1603186398.242445;-0.016983;-0.146942;-0.938873
1603186398.252151;-0.019974;-0.152161;-0.946030
1603186398.261854;-0.022659;-0.157715;-0.949417
1603186398.271590;-0.021698;-0.155914;-0.952606
1603186398.281295;-0.021271;-0.154770;-0.950729
1603186398.291029;-0.023209;-0.150009;-0.948608
1603186398.300735;-0.022842;-0.148300;-0.948700
1603186398.310469;-0.023407;-0.148483;-0.944916
1603186398.320174;-0.022263;-0.151978;-0.940704
1603186398.329910;-0.025360;-0.155518;-0.936447
1603186398.339613;-0.024017;-0.157379;-0.932587
1603186398.349319;-0.018005;-0.155930;-0.934402
1603186398.359053;-0.011017;-0.153351;-0.937698
1603186398.368757;-0.006577;-0.154617;-0.940826
1603186398.378494;-0.004456;-0.153671;-0.946304
1603186398.388197;-0.003448;-0.153336;-0.963165
1603186398.397902;0.000595;-0.150284;-0.980743
1603186398.407638;0.007568;-0.145309;-1.002625
1603186398.417341;0.002167;-0.136520;-1.029770
1603186398.427078;-0.005371;-0.122818;-1.050201
1603186398.436781;-0.011719;-0.110123;-1.075073
1603186398.446517;-0.020065;-0.093597;-1.094284
1603186398.456222;-0.019440;-0.082626;-1.111160
1603186398.465925;-0.016602;-0.073792;-1.113327
1603186398.475662;-0.018280;-0.060333;-1.108627
1603186398.485365;-0.013275;-0.056732;-1.085114
1603186398.495100;0.013184;-0.055984;-1.053848
1603186398.504806;0.042175;-0.055710;-1.034378
1603186398.514540;0.065598;-0.050827;-1.035812
1603186398.524245;0.077682;-0.042847;-1.042191
1603186398.533949;0.080704;-0.041855;-1.056915
1603186398.543684;0.080933;-0.041855;-1.079300
1603186398.553390;0.073608;-0.041092;-1.110016
1603186398.563124;0.044846;-0.027603;-1.143661
1603186398.572829;0.015396;-0.014374;-1.167709
1603186398.582533;0.006027;0.000565;-1.172058
1603186398.592268;0.002167;0.006638;-1.156738
1603186398.601974;0.012177;-0.001358;-1.111816
1603186398.611708;0.025742;-0.014435;-1.054199
1603186398.621413;0.033615;-0.024475;-1.005417
1603186398.631118;0.022736;-0.025223;-0.979401
1603186398.640852;0.026657;-0.016418;-0.956116
1603186398.650558;0.032303;-0.016785;-0.949402
1603186398.660292;0.042633;-0.020935;-0.954865
1603186398.669997;0.053375;-0.027634;-0.957962
1603186398.679702;0.054138;-0.037308;-0.963638
1603186398.689436;0.051300;-0.041443;-0.952377
1603186398.699142;0.048233;-0.043320;-0.937729
1603186398.708845;0.048309;-0.044861;-0.922974
1603186398.718580;0.043915;-0.044525;-0.912811
1603186398.728286;0.031937;-0.044998;-0.913864
1603186398.738020;0.022720;-0.048370;-0.920090
1603186398.747725;0.017349;-0.049805;-0.934082
1603186398.757429;0.016449;-0.051544;-0.951569
1603186398.767164;0.020889;-0.052872;-0.969040
1603186398.776870;0.027893;-0.050171;-0.981705
1603186398.786604;0.036041;-0.043884;-0.983627
1603186398.796309;0.044815;-0.043411;-0.979462
1603186398.806014;0.056580;-0.041443;-0.965378
1603186398.815748;0.065933;-0.038071;-0.958023
1603186398.825454;0.067184;-0.035233;-0.954330
1603186398.835188;0.058456;-0.035812;-0.961151
1603186398.844852;0.049652;-0.042175;-0.964661
1603186398.854556;0.041840;-0.050552;-0.965332
1603186398.864291;0.040085;-0.064606;-0.961685
1603186398.873996;0.046661;-0.071716;-0.956879
1603186398.883731;0.051956;-0.076294;-0.947067
1603186398.893436;0.048340;-0.075577;-0.932648
1603186398.903140;0.045929;-0.077881;-0.915527
1603186398.912875;0.044113;-0.080795;-0.904404
1603186398.922580;0.043518;-0.089355;-0.897476
1603186398.932315;0.044617;-0.099579;-0.893616
1603186398.942020;0.044891;-0.112793;-0.880737
1603186398.951724;0.042404;-0.124100;-0.874115
1603186398.961459;0.044708;-0.129440;-0.874115
1603186398.971164;0.044830;-0.133530;-0.872498
1603186398.980899;0.039825;-0.134506;-0.880096
1603186398.990604;0.034271;-0.131363;-0.888382
1603186399.000308;0.030045;-0.129852;-0.899734
1603186399.010043;0.040497;-0.126923;-0.927322
1603186399.019748;0.047256;-0.131729;-0.951675
1603186399.029483;0.055298;-0.140060;-0.967880
1603186399.039188;0.055786;-0.141846;-0.977539
1603186399.048892;0.054245;-0.139648;-0.986481
1603186399.058627;0.057785;-0.135254;-0.991989
1603186399.068332;0.057861;-0.129440;-0.993393
1603186399.078037;0.058029;-0.126663;-0.997498
1603186399.087772;0.053848;-0.124847;-1.003525
1603186399.097476;0.051392;-0.124771;-1.013748
1603186399.107181;0.052856;-0.120651;-1.033661
1603186399.116916;0.054169;-0.114197;-1.049728
1603186399.126620;0.050125;-0.110458;-1.061676
1603186399.136356;0.050522;-0.101837;-1.072327
1603186399.146060;0.056137;-0.093979;-1.078552
1603186399.155765;0.053116;-0.088867;-1.088562
1603186399.165500;0.038528;-0.079926;-1.095093
1603186399.175204;0.022934;-0.072281;-1.097031
1603186399.184909;0.020401;-0.077606;-1.088943
1603186399.194644;0.024475;-0.096924;-1.071594
1603186399.204349;0.035477;-0.115479;-1.050827
1603186399.214084;0.031723;-0.117538;-1.046661
1603186399.223788;0.020020;-0.104141;-1.054703
1603186399.233493;0.009949;-0.081528;-1.076843
1603186399.243228;0.012100;-0.068390;-1.094986
1603186399.252933;0.010849;-0.062607;-1.095520
1603186399.262637;0.006699;-0.062561;-1.091492
